latitude_deg,longitude_deg,acme_rssi_dbm,acme_bandwidth_kbps,acme_jitter_ms,atma_loss_percent,acme_rtt_ms,globex_bandwidth_kbps,globex_jitter_ms,globex_loss_percent,globex_rssi_dbm,globex_rtt_ms,octan_rssi_dbm,octan_bandwidth_kbps,octan_jitter_ms,rssi_loss_percent,octan_rtt_ms
45.45958658333333,-73.82274576666667,-57,,,,,792,108.661,0,-35,,-50,,,,
45.45958658333333,-73.82274576666667,-57,790,78.879,0,,,,,-35,,-50,796,84.136,0,
45.45958658333333,-73.82274576666667,-57,792,84.063,0,,798,123.249,0,-35,,-50,795,61.272,0,
45.45958658333333,-73.82274576666667,-57,797,84.471,0,,789,61.164,0,-41,,-56,796,84.148,0,
45.45958658333333,-73.82274576666667,-57,791,84.136,0,,,,,-41,,-56,,,,
45.45958658333333,-73.82274576666667,-57,,,,,798,64.673,0,-41,,-56,799,78.709,0,
45.45958658333333,-73.82274576666667,-57,793,84.104,0,63.9,792,115.526,0,-28,79.6,-56,796,84.583,0,55.5
45.45958658333333,-73.82274576666667,-57,,,,65.3,799,60.667,0,-39,59.6,-56,,,,54.4
45.45958658333333,-73.82274576666667,-57,794,84.071,0,69.1,,,,-39,61.2,-49,,,,53.2
45.45958658333333,-73.82274576666667,-57,,,,73.7,,,,-39,72.2,-49,789,90.267,0,65.9
45.45958658333333,-73.82274576666667,-57,793,84.522,0,59.4,793,60.761,0,-32,56.5,-57,,,,69.3
45.45958658333333,-73.82274576666667,-57,790,78.827,0,59.6,796,123.348,0,-32,69.0,-57,793,84.947,0,60.3
45.45958658333333,-73.82274576666667,-57,796,84.065,0,71.7,,,,-32,72.3,-57,795,61.378,0,74.2
45.45958658333333,-73.82274576666667,-57,797,84.111,0,67.6,,,,-32,60.1,-57,792,61.624,0,67.1
45.45958658333333,-73.82274576666667,-57,795,115.679,0,62.1,,,,-32,68.5,-57,793,84.514,0,64.5
45.45958658333333,-73.82274576666667,-57,,,,65.6,796,60.811,0,-32,58.8,-57,,,,69.9
45.45958658333333,-73.82274576666667,-57,,,,60.1,789,108.868,0,-32,74.0,-57,,,,66.9
45.45958658333333,-73.82274576666667,-57,795,84.515,0,62.9,,,,-32,61.5,-57,789,78.849,0,63.0
45.45958658333333,-73.82274576666667,-57,,,,74.2,,,,-41,89.5,-57,,,,62.9
45.45958658333333,-73.82274576666667,-57,793,84.095,0,60.5,797,123.330,0,-34,68.8,-57,799,61.261,0,71.4
45.45958658333333,-73.82274576666667,-57,,,,76.1,,,,-34,70.2,-57,,,,55.8
45.45958658333333,-73.82274576666667,-57,789,79.278,0,76.9,790,115.679,0,-34,59.7,-57,789,109.478,0,60.1
45.45958658333333,-73.82274576666667,-57,799,84.071,0,68.5,789,61.173,0,-34,59.1,-57,798,89.745,0,72.3
45.45958658333333,-73.82274576666667,-57,795,89.683,0,74.3,,,,-34,61.8,-57,,,,53.2
45.45958658333333,-73.82274576666667,-57,797,84.103,0,79.1,799,60.765,0,-34,67.7,-57,798,61.505,0,58.0
45.45958658333333,-73.82274576666667,-57,791,78.871,0,67.7,790,60.951,0,-34,66.5,-57,,,,74.6
45.45958658333333,-73.82274576666667,-57,792,78.887,0,55.3,798,123.276,0,-34,58.5,-57,795,84.108,0,66.1
45.45958658333333,-73.82274576666667,-57,796,84.340,0,64.6,,,,-34,61.1,-57,789,79.111,0,60.2
45.45958658333333,-73.82274576666667,-57,,,,64.8,799,61.437,0,-34,58.6,-57,,,,44.2
45.45958658333333,-73.82274576666667,-57,790,78.786,0,70.1,,,,-34,66.7,-57,792,115.860,0,86.0
45.45958658333333,-73.82274576666667,-57,,,,62.5,796,61.393,0,-34,60.3,-57,,,,62.6
45.45958658333333,-73.82274576666667,-57,796,61.582,0,53.9,793,123.504,0,-34,70.6,-57,,,,62.8
45.45958658333333,-73.82274576666667,-57,,,,51.9,792,115.574,0,-34,58.6,-57,791,65.442,0,59.5
45.45958658333333,-73.82274576666667,-57,796,79.306,0,73.4,791,115.605,0,-34,71.7,-57,790,89.816,0,60.0
45.45958658333333,-73.82274576666667,-57,,,,63.4,,,,-34,59.1,-57,,,,52.2
45.45958658333333,-73.82274576666667,-57,792,116.942,0,67.9,792,115.827,0,-34,62.6,-57,794,61.693,0,64.1
